Playlist Title,Channel,Category
PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ,Stanford Online,Computer Science
PLoROMvodv4rOP-ImU-O1rYRg2RFxomvFp,Stanford Online,Computer Science
PLoROMvodv4rOpr_A7B9SriE_iZmkanvUg,Stanford Online,Computer Science
PLoROMvodv4rMFqRtEuo6SGjY4XbRIVRd4,Stanford Online,Computer Science
PLoROMvodv4rNyWOpJg_Yh4NSqI4Z4vOYy,Stanford Online,Computer Science
PLoROMvodv4rNjRoawgt72BBNwL2V7doGI,Stanford Online,Computer Science
PLoROMvodv4rPh6wa6PGcHH6vMG9sEIPxL,Stanford Online,Computer Science
PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2,Stanford Online,Computer Science
PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN,Stanford Online,Computer Science
PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9,Stanford Online,Computer Science
PLoROMvodv4rOSOPzutgyCTapiGlY2Nd8u,Stanford Online,Computer Science